niveau1,vondstnummer
Personal Artefacts & Clothing,NZD1.00039LEE006
Food Processing & Consumption,NZD1.00039MTL003
Distribution & Transport,NZD1.00039MTL005
Personal Artefacts & Clothing,NZD1.00039TXT001
Food Processing & Consumption,NZD1.00040CER001
Food Processing & Consumption,NZD1.00040CER002
Food Processing & Consumption,NZD1.00040CER007
Food Processing & Consumption,NZD1.00040CER012
Food Processing & Consumption,NZD1.00040CER015
Food Processing & Consumption,NZD1.00040CER030
Food Processing & Consumption,NZD1.00040CER031
Food Processing & Consumption,NZD1.00040CER033
Food Processing & Consumption,NZD1.00040CER036
Food Processing & Consumption,NZD1.00040CER041
Food Processing & Consumption,NZD1.00040CER043
Food Processing & Consumption,NZD1.00040CER049
Food Processing & Consumption,NZD1.00040CER050
Food Processing & Consumption,NZD1.00040CER055
Food Processing & Consumption,NZD1.00040CER057
Food Processing & Consumption,NZD1.00040CER066
Food Processing & Consumption,NZD1.00040CER068
Food Processing & Consumption,NZD1.00040CER069
Food Processing & Consumption,NZD1.00040CER070
Food Processing & Consumption,NZD1.00040CER071
Food Processing & Consumption,NZD1.00040GLS001
Personal Artefacts & Clothing,NZD1.00040LEE006
Distribution & Transport,NZD1.00040MTL001
Distribution & Transport,NZD1.00040MTL002
Distribution & Transport,NZD1.00040MTL003
Buildings & Structures,NZD1.00040STN001
Food Processing & Consumption,NZD1.00041CER001
Food Processing & Consumption,NZD1.00041CER025
Food Processing & Consumption,NZD1.00041CER026
Food Processing & Consumption,NZD1.00041CER027
Food Processing & Consumption,NZD1.00041CER033
Food Processing & Consumption,NZD1.00041CER035
Food Processing & Consumption,NZD1.00041CER056
Food Processing & Consumption,NZD1.00041CER057
Food Processing & Consumption,NZD1.00041CER058
Food Processing & Consumption,NZD1.00041CER059
Food Processing & Consumption,NZD1.00041CER062
Personal Artefacts & Clothing,NZD1.00041LEE005
Personal Artefacts & Clothing,NZD1.00041LEE007
Personal Artefacts & Clothing,NZD1.00041MTL004
Craft & Industry,NZD1.00041TXT002
Food Processing & Consumption,NZD1.00042CER001
Food Processing & Consumption,NZD1.00042CER006
Food Processing & Consumption,NZD1.00042CER012
Food Processing & Consumption,NZD1.00042CER013
Food Processing & Consumption,NZD1.00042CER020
Food Processing & Consumption,NZD1.00042CER035
Food Processing & Consumption,NZD1.00042CER052
Food Processing & Consumption,NZD1.00042CER053
Food Processing & Consumption,NZD1.00042CER055
Craft & Industry,NZD1.00042FAU018
Food Processing & Consumption,NZD1.00042GLS001
Food Processing & Consumption,NZD1.00042GLS003
Personal Artefacts & Clothing,NZD1.00042HT003
Personal Artefacts & Clothing,NZD1.00042HT004
Personal Artefacts & Clothing,NZD1.00042LEE007
Personal Artefacts & Clothing,NZD1.00042LEE008
Distribution & Transport,NZD1.00042MTL001-gw
Food Processing & Consumption,NZD1.00042MTL007
Distribution & Transport,NZD1.00042MTL013
Food Processing & Consumption,NZD1.00043CER001
Food Processing & Consumption,NZD1.00043CER002
Food Processing & Consumption,NZD1.00043CER026
Food Processing & Consumption,NZD1.00043CER027
Food Processing & Consumption,NZD1.00043CER033
Food Processing & Consumption,NZD1.00043CER036
Food Processing & Consumption,NZD1.00043CER042
Food Processing & Consumption,NZD1.00043CER056
Food Processing & Consumption,NZD1.00043CER102
Food Processing & Consumption,NZD1.00043CER103
Food Processing & Consumption,NZD1.00043CER104
Food Processing & Consumption,NZD1.00043CER106
Food Processing & Consumption,NZD1.00043CER108
Food Processing & Consumption,NZD1.00043CER111
Food Processing & Consumption,NZD1.00043CER112
Food Processing & Consumption,NZD1.00043CER113
Food Processing & Consumption,NZD1.00043CER114
Food Processing & Consumption,NZD1.00043CER115
